pickup_hour,trip_count,temperature_2m,precipitation
2026-02-01T00:00:00.000-05:00,7958,-11.3,0.0
2026-02-01T01:00:00.000-05:00,6914,-11.8,0.0
2026-02-01T02:00:00.000-05:00,4620,-11.1,0.0
2026-02-01T03:00:00.000-05:00,3280,-11.8,0.0
2026-02-01T04:00:00.000-05:00,2199,-12.2,0.0
2026-02-01T05:00:00.000-05:00,1025,-12.7,0.0
2026-02-01T06:00:00.000-05:00,1434,-13.3,0.0
2026-02-01T07:00:00.000-05:00,1835,-13.7,0.0
2026-02-01T08:00:00.000-05:00,2555,-14.1,0.0
2026-02-01T09:00:00.000-05:00,3644,-13.9,0.0
2026-02-01T10:00:00.000-05:00,5065,-13.5,0.0
2026-02-01T11:00:00.000-05:00,6303,-12.8,0.0
2026-02-01T12:00:00.000-05:00,6982,-12.1,0.0
2026-02-01T13:00:00.000-05:00,7321,-10.8,0.0
2026-02-01T14:00:00.000-05:00,7171,-8.4,0.0
2026-02-01T15:00:00.000-05:00,7112,-7.5,0.0
2026-02-01T16:00:00.000-05:00,7082,-6.8,0.0
2026-02-01T17:00:00.000-05:00,7428,-6.6,0.0
2026-02-01T18:00:00.000-05:00,7267,-7.2,0.0
2026-02-01T19:00:00.000-05:00,5746,-7.9,0.0
2026-02-01T20:00:00.000-05:00,4998,-8.1,0.0
2026-02-01T21:00:00.000-05:00,5149,-8.8,0.0
2026-02-01T22:00:00.000-05:00,3706,-9.5,0.0
2026-02-01T23:00:00.000-05:00,2887,-10.1,0.0
2026-02-02T00:00:00.000-05:00,1640,-10.6,0.0
2026-02-02T01:00:00.000-05:00,674,-11.0,0.0
2026-02-02T02:00:00.000-05:00,377,-10.9,0.0
2026-02-02T03:00:00.000-05:00,342,-10.8,0.0
2026-02-02T04:00:00.000-05:00,511,-10.7,0.0
2026-02-02T05:00:00.000-05:00,1101,-10.6,0.0
2026-02-02T06:00:00.000-05:00,2661,-10.5,0.0
2026-02-02T07:00:00.000-05:00,5044,-10.3,0.0
2026-02-02T08:00:00.000-05:00,6453,-9.4,0.0
2026-02-02T09:00:00.000-05:00,5872,-8.9,0.0
2026-02-02T10:00:00.000-05:00,5412,-7.9,0.0
2026-02-02T11:00:00.000-05:00,5346,-6.7,0.0
2026-02-02T12:00:00.000-05:00,5434,-5.5,0.0
2026-02-02T13:00:00.000-05:00,5421,-4.3,0.0
2026-02-02T14:00:00.000-05:00,5940,-1.6,0.0
2026-02-02T15:00:00.000-05:00,6791,-0.9,0.0
2026-02-02T16:00:00.000-05:00,6320,-0.9,0.0
2026-02-02T17:00:00.000-05:00,7067,-1.5,0.0
2026-02-02T18:00:00.000-05:00,7308,-2.8,0.0
2026-02-02T19:00:00.000-05:00,6124,-4.0,0.0
2026-02-02T20:00:00.000-05:00,6773,-4.8,0.0
2026-02-02T21:00:00.000-05:00,6523,-5.2,0.0
2026-02-02T22:00:00.000-05:00,4567,-5.9,0.0
2026-02-02T23:00:00.000-05:00,2901,-6.8,0.0
2026-02-03T00:00:00.000-05:00,1495,-8.7,0.0
2026-02-03T01:00:00.000-05:00,732,-9.8,0.0
2026-02-03T02:00:00.000-05:00,364,-8.9,0.0
2026-02-03T03:00:00.000-05:00,262,-9.6,0.0
2026-02-03T04:00:00.000-05:00,463,-11.2,0.0
2026-02-03T05:00:00.000-05:00,1063,-12.3,0.0
2026-02-03T06:00:00.000-05:00,2744,-13.2,0.0
2026-02-03T07:00:00.000-05:00,5407,-13.6,0.0
2026-02-03T08:00:00.000-05:00,6748,-13.1,0.0
2026-02-03T09:00:00.000-05:00,6338,-12.7,0.0
2026-02-03T10:00:00.000-05:00,5786,-10.6,0.0
2026-02-03T11:00:00.000-05:00,5673,-8.0,0.0
2026-02-03T12:00:00.000-05:00,5949,-5.9,0.0
2026-02-03T13:00:00.000-05:00,5883,-4.1,0.0
2026-02-03T14:00:00.000-05:00,6603,-1.7,0.0
2026-02-03T15:00:00.000-05:00,7203,-1.1,0.0
2026-02-03T16:00:00.000-05:00,6352,-0.9,0.0
2026-02-03T17:00:00.000-05:00,7381,-1.6,0.0
2026-02-03T18:00:00.000-05:00,7995,-2.4,0.0
2026-02-03T19:00:00.000-05:00,7020,-2.9,0.0
2026-02-03T20:00:00.000-05:00,7852,-3.2,0.0
2026-02-03T21:00:00.000-05:00,8420,-4.1,0.0
2026-02-03T22:00:00.000-05:00,6309,-5.8,0.0
2026-02-03T23:00:00.000-05:00,4070,-7.7,0.0
2026-02-04T00:00:00.000-05:00,1803,-9.4,0.0
2026-02-04T01:00:00.000-05:00,765,-10.0,0.0
2026-02-04T02:00:00.000-05:00,405,-7.8,0.0
2026-02-04T03:00:00.000-05:00,323,-7.5,0.0
2026-02-04T04:00:00.000-05:00,443,-5.7,0.0
2026-02-04T05:00:00.000-05:00,1052,-4.9,0.0
2026-02-04T06:00:00.000-05:00,2645,-4.4,0.0
2026-02-04T07:00:00.000-05:00,5380,-5.4,0.0
2026-02-04T08:00:00.000-05:00,6753,-4.6,0.0
2026-02-04T09:00:00.000-05:00,6344,-4.1,0.0
2026-02-04T10:00:00.000-05:00,5818,-3.6,0.0
2026-02-04T11:00:00.000-05:00,5767,-3.4,0.0
2026-02-04T12:00:00.000-05:00,6036,-4.0,0.0
2026-02-04T13:00:00.000-05:00,6346,-3.6,0.0
2026-02-04T14:00:00.000-05:00,6751,-1.6,0.0
2026-02-04T15:00:00.000-05:00,7015,-1.1,0.0
2026-02-04T16:00:00.000-05:00,6749,-1.2,0.0
2026-02-04T17:00:00.000-05:00,7899,-2.3,0.0
2026-02-04T18:00:00.000-05:00,8373,-4.4,0.0
2026-02-04T19:00:00.000-05:00,7629,-6.2,0.0
2026-02-04T20:00:00.000-05:00,8598,-6.0,0.0
2026-02-04T21:00:00.000-05:00,9192,-5.9,0.0
2026-02-04T22:00:00.000-05:00,7490,-6.0,0.0
2026-02-04T23:00:00.000-05:00,4094,-6.1,0.0
2026-02-05T00:00:00.000-05:00,2140,-6.7,0.0
2026-02-05T01:00:00.000-05:00,951,-7.8,0.0
2026-02-05T02:00:00.000-05:00,596,-8.4,0.0
2026-02-05T03:00:00.000-05:00,413,-8.7,0.0
2026-02-05T04:00:00.000-05:00,534,-9.6,0.0
2026-02-05T05:00:00.000-05:00,1222,-10.6,0.0
2026-02-05T06:00:00.000-05:00,2747,-11.1,0.0
2026-02-05T07:00:00.000-05:00,5410,-11.3,0.0
2026-02-05T08:00:00.000-05:00,6663,-13.1,0.0
2026-02-05T09:00:00.000-05:00,6441,-11.5,0.0
2026-02-05T10:00:00.000-05:00,5788,-10.4,0.0
2026-02-05T11:00:00.000-05:00,5714,-9.0,0.0
2026-02-05T12:00:00.000-05:00,5988,-7.5,0.0
2026-02-05T13:00:00.000-05:00,6040,-6.1,0.0
2026-02-05T14:00:00.000-05:00,6805,-3.0,0.0
2026-02-05T15:00:00.000-05:00,7520,-2.6,0.0
2026-02-05T16:00:00.000-05:00,7059,-2.6,0.0
2026-02-05T17:00:00.000-05:00,8062,-3.4,0.0
2026-02-05T18:00:00.000-05:00,8570,-5.6,0.0
2026-02-05T19:00:00.000-05:00,8002,-7.4,0.0
2026-02-05T20:00:00.000-05:00,8741,-8.4,0.0
2026-02-05T21:00:00.000-05:00,9299,-9.3,0.0
2026-02-05T22:00:00.000-05:00,8161,-11.1,0.0
2026-02-05T23:00:00.000-05:00,5546,-11.7,0.0
2026-02-06T00:00:00.000-05:00,3205,-12.0,0.0
2026-02-06T01:00:00.000-05:00,1913,-12.4,0.0
2026-02-06T02:00:00.000-05:00,1187,-12.5,0.0
2026-02-06T03:00:00.000-05:00,786,-11.2,0.0
2026-02-06T04:00:00.000-05:00,839,-11.3,0.0
2026-02-06T05:00:00.000-05:00,1260,-11.5,0.0
2026-02-06T06:00:00.000-05:00,2703,-11.4,0.0
2026-02-06T07:00:00.000-05:00,4889,-11.0,0.0
2026-02-06T08:00:00.000-05:00,5634,-10.3,0.0
2026-02-06T09:00:00.000-05:00,5303,-9.9,0.0
2026-02-06T10:00:00.000-05:00,5157,-9.2,0.0
2026-02-06T11:00:00.000-05:00,5418,-8.0,0.0
2026-02-06T12:00:00.000-05:00,5669,-6.5,0.0
2026-02-06T13:00:00.000-05:00,6281,-5.1,0.0
2026-02-06T14:00:00.000-05:00,7008,-3.1,0.0
2026-02-06T15:00:00.000-05:00,7512,-2.6,0.0
2026-02-06T16:00:00.000-05:00,6732,-2.4,0.0
2026-02-06T17:00:00.000-05:00,7699,-2.9,0.0
2026-02-06T18:00:00.000-05:00,7902,-4.9,0.0
2026-02-06T19:00:00.000-05:00,7893,-5.5,0.0
2026-02-06T20:00:00.000-05:00,7704,-4.5,0.0
2026-02-06T21:00:00.000-05:00,7848,-4.1,0.0
2026-02-06T22:00:00.000-05:00,8542,-4.0,0.1
2026-02-06T23:00:00.000-05:00,8037,-4.2,0.1
2026-02-07T00:00:00.000-05:00,7193,-4.3,0.1
2026-02-07T01:00:00.000-05:00,5629,-4.2,0.1
2026-02-07T02:00:00.000-05:00,4095,-3.8,0.1
2026-02-07T03:00:00.000-05:00,2877,-3.7,0.1
2026-02-07T04:00:00.000-05:00,1675,-3.9,0.0
2026-02-07T05:00:00.000-05:00,870,-3.8,0.4
2026-02-07T06:00:00.000-05:00,1305,-4.4,0.1
2026-02-07T07:00:00.000-05:00,1794,-7.1,0.0
2026-02-07T08:00:00.000-05:00,2986,-7.0,0.0
2026-02-07T09:00:00.000-05:00,4260,-8.7,0.0
2026-02-07T10:00:00.000-05:00,5397,-11.6,0.0
2026-02-07T11:00:00.000-05:00,6498,-13.0,0.0
2026-02-07T12:00:00.000-05:00,7430,-13.8,0.0
2026-02-07T13:00:00.000-05:00,8149,-14.0,0.0
2026-02-07T14:00:00.000-05:00,7615,-12.6,0.0
2026-02-07T15:00:00.000-05:00,7801,-12.4,0.0
2026-02-07T16:00:00.000-05:00,8794,-12.7,0.0
2026-02-07T17:00:00.000-05:00,9542,-13.4,0.0
2026-02-07T18:00:00.000-05:00,10907,-14.3,0.0
2026-02-07T19:00:00.000-05:00,10501,-15.2,0.0
2026-02-07T20:00:00.000-05:00,8652,-14.6,0.0
2026-02-07T21:00:00.000-05:00,8524,-15.3,0.0
2026-02-07T22:00:00.000-05:00,9296,-15.9,0.0
2026-02-07T23:00:00.000-05:00,9028,-16.5,0.0
2026-02-08T00:00:00.000-05:00,7735,-17.1,0.0
2026-02-08T01:00:00.000-05:00,5746,-17.4,0.0
2026-02-08T02:00:00.000-05:00,3826,-15.9,0.0
2026-02-08T03:00:00.000-05:00,2564,-16.3,0.0
2026-02-08T04:00:00.000-05:00,1613,-16.9,0.0
